ShowName,Attendance,NumPerformances,WeeksPerformed,GeniusID,AlbumTitle,UniquenessScore,TotalLyricCount
Hamilton,608917,428,57,131575,Hamilton: An American Musical (Original Broadway Cast Recording) by Lin-Manuel Miranda,47,21542
Dames At Sea,45367,85,15,922774,Dames at Sea (Original Off-Broadway Cast Recording) by Original Off-Broadway Cast of Dames at Sea,47,3921
Allegiance,113152,111,19,330520,Allegiance (Original Broadway Cast Recording) by Jay Kuo,54,5980
On Your Feet!,433688,322,45,323793,On Your Feet (Original Broadway Cast Recording) by Original Broadway Cast of On Your Feet,47,7865
School Of Rock,421721,288,40,532453,School of Rock: The Musical (Original Cast Recording) [Deluxe Edition] by Andrew Lloyd Webber,50,5936
The Color Purple 2015,300874,282,40,161102,The Color Purple (2015 Broadway Cast Recording) by The Color Purple Broadway Cast,53,6829
Disaster!,70701,72,13,579039,Disaster! The Musical (Original Broadway Cast Recording) by The original Broadway cast of Disaster! The Musical,50,3988
She Loves Me 2016,145633,132,21,327560,"She Loves Me (2016 Broadway Cast Recording) by 2016 Broadway Cast of ""She Loves Me""",53,6376
Bright Star,111483,109,18,327926,Bright Star (Original Broadway Cast) by Steve Martin & Edie Brickell,43,4311
American Psycho,72358,54,11,325198,American Psycho (Original London Cast Recording) by Duncan Sheik,52,5612
Waitress,168752,129,21,154941,Waitress (Original Broadway Cast Recording) by Various Artists,54,4320
Tuck Everlasting,59117,39,9,327542,Tuck Everlasting (Original Broadway Cast Recording) by Chris Miller,56,4846
Cats 2016,43019,17,5,354747,Cats (2014 London Revival Cast) by Andrew Lloyd Webber,34,623
